date_paiement,montant,mode_paiement,id_membre
2025-09-04,24.99,Carte bancaire,1
2025-10-04,24.99,Carte bancaire,1
2025-11-04,24.99,Carte bancaire,1
2025-12-04,24.99,Carte bancaire,1
2026-01-04,24.99,Carte bancaire,1
2026-02-04,24.99,Carte bancaire,1
2026-03-04,24.99,Carte bancaire,1
2026-04-04,24.99,Carte bancaire,1
2026-05-04,24.99,Carte bancaire,1
2026-06-04,24.99,Carte bancaire,1
2026-07-04,24.99,Carte bancaire,1
2026-01-04,29.99,Prelevement bancaire,2
2026-02-04,29.99,Prelevement bancaire,2
2026-03-04,29.99,Prelevement bancaire,2
2026-04-04,29.99,Prelevement bancaire,2
2026-05-04,29.99,Prelevement bancaire,2
2026-06-04,29.99,Prelevement bancaire,2
2026-07-04,29.99,Prelevement bancaire,2
2026-01-22,29.99,Virement bancaire,3
2026-02-22,29.99,Virement bancaire,3
2026-03-22,29.99,Virement bancaire,3
2026-04-22,29.99,Virement bancaire,3
2026-05-22,29.99,Virement bancaire,3
2026-06-22,29.99,Virement bancaire,3
2025-08-11,34.99,Carte bancaire,4
2025-09-11,34.99,Carte bancaire,4
2025-10-11,34.99,Carte bancaire,4
2025-11-11,34.99,Carte bancaire,4
2025-12-11,34.99,Carte bancaire,4
2026-01-11,34.99,Carte bancaire,4
2026-02-11,34.99,Carte bancaire,4
2026-03-11,34.99,Carte bancaire,4
2026-04-11,34.99,Carte bancaire,4
2026-05-11,34.99,Carte bancaire,4
2026-06-11,34.99,Carte bancaire,4
2026-07-11,34.99,Carte bancaire,4
2026-05-08,24.99,Prelevement bancaire,5
2026-06-08,24.99,Prelevement bancaire,5
2026-07-08,24.99,Prelevement bancaire,5
2025-12-24,29.99,Virement bancaire,6
2026-01-24,29.99,Virement bancaire,6
2026-02-24,29.99,Virement bancaire,6
2026-03-24,29.99,Virement bancaire,6
2026-04-24,29.99,Virement bancaire,6
2026-05-24,29.99,Virement bancaire,6
2026-06-24,29.99,Virement bancaire,6
2026-05-12,29.99,Carte bancaire,7
2026-06-12,29.99,Carte bancaire,7
2026-07-12,29.99,Carte bancaire,7
2026-06-07,34.99,Prelevement bancaire,8
2026-07-07,34.99,Prelevement bancaire,8
2025-12-10,24.99,Virement bancaire,9
2026-01-10,24.99,Virement bancaire,9
2026-02-10,24.99,Virement bancaire,9
2026-03-10,24.99,Virement bancaire,9
2026-04-10,24.99,Virement bancaire,9
2026-05-10,24.99,Virement bancaire,9
2026-06-10,24.99,Virement bancaire,9
2026-07-10,24.99,Virement bancaire,9
2025-11-02,29.99,Carte bancaire,10
2025-12-02,29.99,Carte bancaire,10
2026-01-02,29.99,Carte bancaire,10
2026-02-02,29.99,Carte bancaire,10
2026-03-02,29.99,Carte bancaire,10
2026-04-02,29.99,Carte bancaire,10
2026-05-02,29.99,Carte bancaire,10
2026-06-02,29.99,Carte bancaire,10
2026-07-02,29.99,Carte bancaire,10
2026-05-07,29.99,Prelevement bancaire,11
2026-06-07,29.99,Prelevement bancaire,11
2026-07-07,29.99,Prelevement bancaire,11
